,year,crop_name,county,harvested_acres,production,yield,key_crop_name
34,2014,ANISE (FENNEL),Monterey,699.0,12000.0,17.17,No Match
35,2014,ANISE (FENNEL),Sum of Others,202.0,2322.0,11.5,No Match
154,2014,ARTICHOKES,Monterey,5000.0,27100.0,5.42,No Match
155,2014,ARTICHOKES,Riverside,642.0,5170.0,8.05,No Match
156,2014,ARTICHOKES,San Mateo,64.0,252.0,3.94,No Match
157,2014,ARTICHOKES,Sum of Others,50.0,524.0,10.48,No Match
232,2014,BEETS GARDEN,San Bernardino,4.0,13.0,3.25,No Match
233,2014,BEETS GARDEN,Ventura,164.0,2290.0,13.96,No Match
234,2014,BEETS GARDEN,Sum of Others,1089.0,13583.0,12.47,No Match
236,2014,BERRIES BLACKBERRIES,Santa Cruz,813.0,5030.0,6.19,No Match
237,2014,BERRIES BLACKBERRIES,Sum of Others,41.0,115.0,2.8,No Match
248,2014,BERRIES BUSHBERRIES UNSPECIFIED,San Diego,320.0,2880.0,9.0,No Match
249,2014,BERRIES BUSHBERRIES UNSPECIFIED,Santa Clara,10.0,37.0,3.7,No Match
251,2014,BERRIES BUSHBERRIES UNSPECIFIED,Sum of Others,9.0,11.0,1.22,No Match
253,2014,BERRIES RASPBERRIES,Monterey,782.0,7040.0,9.0,No Match
254,2014,BERRIES RASPBERRIES,Santa Barbara,1460.0,10000.0,6.85,No Match
255,2014,BERRIES RASPBERRIES,Santa Cruz,2420.0,24100.0,9.96,No Match
256,2014,BERRIES RASPBERRIES,Ventura,4630.0,42900.0,9.27,No Match
307,2014,BRUSSELS SPROUTS,San Mateo,736.0,7490.0,10.18,No Match
308,2014,BRUSSELS SPROUTS,Santa Cruz,1120.0,11500.0,10.27,No Match
309,2014,BRUSSELS SPROUTS,Sum of Others,97.0,526.0,5.42,No Match
478,2014,CHERIMOYAS,Sum of Others,1.0,1.0,1.0,No Match
526,2014,CILANTRO,Monterey,1570.0,8280.0,5.27,No Match
