,year,crop_name,county,harvested_acres,production,yield,key_crop_name,price_per_unit,value
0,2008,ALMONDS ALL ,Butte ,37100 ,33019 ,0.89 ,Almonds,,
1,2008,ALMONDS ALL ,Colusa ,35260 ,44075 ,1.25 ,Almonds,,
2,2008,ALMONDS ALL ,Fresno ,120400 ,159000 ,1.32 ,Almonds,,
3,2008,ALMONDS ALL ,Glenn ,29966 ,25771 ,0.86 ,Almonds,,
4,2008,ALMONDS ALL ,Kern ,132000 ,160000 ,1.21 ,Almonds,,
5,2008,ALMONDS ALL ,Kings ,13054 ,9268 ,0.71 ,Almonds,,
6,2008,ALMONDS ALL ,Madera ,66800 ,70140 ,1.05 ,Almonds,,
7,2008,ALMONDS ALL ,Merced ,92662 ,91036 ,0.98 ,Almonds,,
8,2008,ALMONDS ALL ,San Joaquin ,47500 ,58400 ,1.23 ,Almonds,,
9,2008,ALMONDS ALL ,Solano ,2860 ,2202 ,0.77 ,Almonds,,
10,2008,ALMONDS ALL ,Stanislaus ,128598 ,140000 ,1.09 ,Almonds,,
11,2008,ALMONDS ALL ,Sutter ,4638 ,2412 ,0.52 ,Almonds,,
12,2008,ALMONDS ALL ,Tehama ,8786 ,7117 ,0.81 ,Almonds,,
13,2008,ALMONDS ALL ,Tulare ,24800 ,27500 ,1.11 ,Almonds,,
14,2008,ALMONDS ALL ,Yolo ,11464 ,9629 ,0.84 ,Almonds,,
15,2008,ALMONDS ALL ,Yuba ,973 ,623 ,0.64 ,Almonds,,
16,2008,ALMONDS ALL ,Sum of Others ,37 ,3 ,0.08 ,Almonds,,
17,2008,ALMONDS ALL , State Totals,756898 ,840195 ,1.11 ,Almonds,,
18,2008,ANISE (FENNEL) ,Monterey ,638 ,9030 ,14.15 ,Herbs,,
19,2008,ANISE (FENNEL) ,Sum of Others ,380 ,5879 ,15.47 ,Herbs,,
20,2008,ANISE (FENNEL) , State Totals,1018 ,14909 ,14.65 ,Herbs,,
21,2008,APPLES ALL ,Contra Costa ,260 ,2240 ,8.62 ,Apples,,
22,2008,APPLES ALL ,El Dorado ,845 ,3765 ,4.46 ,Apples,,
23,2008,APPLES ALL ,Fresno ,919 ,14800 ,16.10 ,Apples,,
24,2008,APPLES ALL ,Kern ,1610 ,40100 ,24.91 ,Apples,,
25,2008,APPLES ALL ,Los Angeles ,131 ,392 ,2.99 ,Apples,,
26,2008,APPLES ALL ,Mendocino ,265 ,3206 ,12.10 ,Apples,,
27,2008,APPLES ALL ,Placer ,50 ,175 ,3.50 ,Apples,,
28,2008,APPLES ALL ,Riverside ,32 ,48 ,1.50 ,Apples,,
29,2008,APPLES ALL ,Sacramento ,312 ,5020 ,16.09 ,Apples,,
30,2008,APPLES ALL ,San Benito ,354 ,6230 ,17.60 ,Apples,,
31,2008,APPLES ALL ,San Bernardino ,247 ,356 ,1.44 ,Apples,,
32,2008,APPLES ALL ,San Diego ,270 ,405 ,1.50 ,Apples,,
33,2008,APPLES ALL ,San Joaquin ,3030 ,77200 ,25.48 ,Apples,,
34,2008,APPLES ALL ,Santa Cruz ,2300 ,45011 ,19.57 ,Apples,,
35,2008,APPLES ALL ,Sonoma ,2840 ,33106 ,11.66 ,Apples,,
36,2008,APPLES ALL ,Sum of Others ,566 ,5628 ,9.94 ,Apples,,
37,2008,APPLES ALL , State Totals,14031 ,377682 ,16.94 ,Apples,,
38,2008,APRICOTS ALL ,Contra Costa ,531 ,3720 ,7.01 ,Apricots,,
39,2008,APRICOTS ALL ,Fresno ,1433 ,10800 ,7.54 ,Apricots,,
40,2008,APRICOTS ALL ,Kern ,400 ,2350 ,5.88 ,Apricots,,
41,2008,APRICOTS ALL ,Kings ,696 ,5153 ,7.40 ,Apricots,,
42,2008,APRICOTS ALL ,Merced ,1019 ,5958 ,5.85 ,Apricots,,
43,2008,APRICOTS ALL ,Riverside ,14 ,35 ,2.50 ,Apricots,,
44,2008,APRICOTS ALL ,San Benito ,729 ,1349 ,1.85 ,Apricots,,
45,2008,APRICOTS ALL ,San Joaquin ,625 ,7800 ,12.48 ,Apricots,,
46,2008,APRICOTS ALL ,Santa Clara ,285 ,941 ,3.30 ,Apricots,,
47,2008,APRICOTS ALL ,Solano ,52 ,18 ,0.35 ,Apricots,,
