crop_name,key_crop_name
ALMOND HULLS ,['Almonds']
ALMONDS ALL,['Almonds']
ALMONDS ALL ,['Almonds']
ANISE (FENNEL),['Herbs']
ANISE (FENNEL) ,['Herbs']
APPLES ALL,['Apples']
APPLES ALL ,['Apples']
APRICOTS ALL,['Apricots']
APRICOTS ALL ,['Apricots']
ARTICHOKES,['Misc Vegs & Fruits']
ARTICHOKES ,['Misc Vegs & Fruits']
ASPARAGUS UNSPECIFIED,['Asparagus']
ASPARAGUS UNSPECIFIED ,['Asparagus']
AVOCADOS ALL,['Avocados']
AVOCADOS ALL ,['Avocados']
"Alfalfa, Hay",['Alfalfa']
"Alfalfa, Silage",['Alfalfa']
"Almonds, Nuts",['Almonds']
Anise/Fennel,['Herbs']
Apples,['Apples']
Apricots,['Apricots']
Artichokes,['Misc Vegs & Fruits']
Asparagus,['Asparagus']
Avocados,['Avocados']
BARLEY FEED,['Barley']
BARLEY FEED ,['Barley']
BARLEY SEED,['Barley']
BARLEY SEED ,['Barley']
BARLEY UNSPECIFIED,['Barley']
BARLEY UNSPECIFIED ,['Barley']
BEANS BLACKEYE (PEAS),['Dry Beans']
BEANS BLACKEYE (PEAS) ,['Dry Beans']
BEANS DRY EDIBLE UNSPECIFIED,['Dry Beans']
BEANS DRY EDIBLE UNSPECIFIED ,['Dry Beans']
BEANS FAVA,['Dry Beans']
BEANS FAVA ,['Dry Beans']
BEANS FRESH UNSPECIFIED,['Dry Beans']
BEANS FRESH UNSPECIFIED ,['Dry Beans']
BEANS GARBANZO,['Dry Beans']
BEANS GARBANZO ,['Dry Beans']
BEANS KIDNEY RED,['Dry Beans']
BEANS KIDNEY RED ,['Dry Beans']
BEANS LIMA BABY DRY,['Dry Beans']
BEANS LIMA BABY DRY ,['Dry Beans']
BEANS LIMA GREEN ,['Dry Beans']
BEANS LIMA LARGE DRY,['Dry Beans']
BEANS LIMA LARGE DRY ,['Dry Beans']
BEANS LIMA UNSPECIFIED,['Dry Beans']
BEANS LIMA UNSPECIFIED ,['Dry Beans']
BEANS PINK,['Dry Beans']
BEANS PINK ,['Dry Beans']
BEANS SEED,['Dry Beans']
BEANS SEED ,['Dry Beans']
BEANS SNAP FRESH MARKET,['Dry Beans']
BEANS SNAP FRESH MARKET ,['Dry Beans']
BEANS SNAP PROCESSING ,['Dry Beans']
BEANS SNAP UNSPECIFIED,['Dry Beans']
BEANS SNAP UNSPECIFIED ,['Dry Beans']
BEETS,['Sugarbeets']
BEETS GARDEN,['Sugarbeets']
BEETS GARDEN ,['Sugarbeets']
BERRIES BLACKBERRIES,['Caneberries']
BERRIES BLACKBERRIES ,['Caneberries']
BERRIES BLUEBERRIES,['Blueberries']
BERRIES BLUEBERRIES ,['Blueberries']
BERRIES BOYSENBERRIES,['Caneberries']
BERRIES BOYSENBERRIES ,['Caneberries']
BERRIES BUSHBERRIES UNSPECIFIED,['Caneberries']
