,year,crop_name,county,harvested_acres,production,yield,key_crop_name
16,2014,ALMONDS ALL,Butte,39200.0,35700.0,0.91,Almonds
17,2014,ALMONDS ALL,Colusa,51800.0,41400.0,0.8,Almonds
18,2014,ALMONDS ALL,Fresno,171000.0,184000.0,1.08,Almonds
19,2014,ALMONDS ALL,Glenn,40200.0,30900.0,0.77,Almonds
20,2014,ALMONDS ALL,Kern,199000.0,201000.0,1.01,Almonds
21,2014,ALMONDS ALL,Kings,19400.0,21600.0,1.11,Almonds
22,2014,ALMONDS ALL,Madera,106000.0,99600.0,0.94,Almonds
23,2014,ALMONDS ALL,Merced,99900.0,98600.0,0.99,Almonds
24,2014,ALMONDS ALL,San Joaquin,59200.0,68100.0,1.15,Almonds
25,2014,ALMONDS ALL,Solano,3430.0,2410.0,0.7,Almonds
26,2014,ALMONDS ALL,Stanislaus,164000.0,173000.0,1.05,Almonds
27,2014,ALMONDS ALL,Sutter,7440.0,5430.0,0.73,Almonds
28,2014,ALMONDS ALL,Tehama,10700.0,8380.0,0.78,Almonds
29,2014,ALMONDS ALL,Tulare,46400.0,48700.0,1.05,Almonds
30,2014,ALMONDS ALL,Yolo,19900.0,19900.0,1.0,Almonds
31,2014,ALMONDS ALL,Yuba,847.0,678.0,0.8,Almonds
32,2014,ALMONDS ALL,Sum of Others,808.0,486.0,0.6,Almonds
34,2014,ANISE (FENNEL),Monterey,699.0,12000.0,17.17,No Match
35,2014,ANISE (FENNEL),Sum of Others,202.0,2322.0,11.5,No Match
128,2014,APPLES ALL,El Dorado,852.0,5650.0,6.63,Apples
129,2014,APPLES ALL,Fresno,270.0,4540.0,16.81,Apples
130,2014,APPLES ALL,Mendocino,215.0,738.0,3.43,Apples
131,2014,APPLES ALL,Placer,49.0,139.0,2.84,Apples
132,2014,APPLES ALL,Riverside,11.0,36.0,3.27,Apples
133,2014,APPLES ALL,San Benito,264.0,6600.0,25.0,Apples
134,2014,APPLES ALL,San Bernardino,341.0,970.0,2.84,Apples
135,2014,APPLES ALL,San Diego,254.0,508.0,2.0,Apples
136,2014,APPLES ALL,San Joaquin,2720.0,67000.0,24.63,Apples
137,2014,APPLES ALL,Santa Cruz,2050.0,37400.0,18.24,Apples
138,2014,APPLES ALL,Sonoma,2320.0,10100.0,4.35,Apples
139,2014,APPLES ALL,Stanislaus,631.0,13700.0,21.71,Apples
140,2014,APPLES ALL,Sum of Others,1991.0,25211.0,12.66,Apples
142,2014,APRICOTS ALL,Contra Costa,66.0,320.0,4.85,Apricots
143,2014,APRICOTS ALL,Fresno,1130.0,7760.0,6.87,Apricots
144,2014,APRICOTS ALL,Kings,766.0,4350.0,5.68,Apricots
145,2014,APRICOTS ALL,Merced,314.0,1510.0,4.81,Apricots
146,2014,APRICOTS ALL,Riverside,17.0,38.0,2.24,Apricots
